index,context,question,answer
123,"Il-Mona Lisa qiegħda attwalment esposta fil-Musée du Louvre f'Pariġi, fi Franza. Il-fama dejjem tiżdied tal-pittura ġiet aktar enfasizzata meta nsterqet fil-21 ta' Awwissu 1911. L-għada l-pittur Louis Béroud daħal fil-Louvre u mar fis-Salon Carré fejn il-Mona Lisa kienet ilha esposta għal ħames snin. Iżda minflok il-Mona Lisa sab erba' grampuni tal-ħadid. Béroud sejjaħ il-kap tas-sezzjoni tal-gwardji, li ħaseb li t-tpinġija kienu qegħdin jitteħdulha xi ritratti għall-skopijiet kummerċjali. Ftit sigħat wara, Béroud reġa' sejjaħ il-kap tas-sezzjoni tal-mużew, u ġie kkonfermat li l-Mona Lisa ma tteħditx mill-fotografi. Il-Louvre ingħalaq għal ġimgħa sħiħa sabiex tiġi ffaċilitata l-investigazzjoni tas-serqa. Is-suspett waqa' fuq il-poeta Franċiż Guillaume Apollinaire, li kien saħaq li l-Louvre għandu ""jinħaraq"", u għalhekk ġie arrestat u mitfugħ il-ħabs. Apollinaire ipprova jdaħħal lil sieħbu Pablo Picasso fil-kwistjoni, li nġieb huwa wkoll għall-interrogazzjoni, iżda t-tnejn inħelsu aktar tard . Dak iż-żmien kien maħsub li l-pittura ntilfet għalkollox u kien biss wara sentejn li nqabad il-ħalliel. L-impjegat fil-Louvre Vincenzo Peruggia seraq il-Mona Lisa billi daħal fil-bini waqt is-sigħat regolari tal-ftuħ, staħba ġo kmajra tal-ixkupi u ħarab 'il barra biha moħbija taħt il-kowt wara li ngħalaq il-mużew . Peruggia kien patrijott Taljan li kien jemmen li x-xogħol ta' Leonardo għandu jerġa' lura fl-Italja u jiġi espost f'mużew Taljan. Peruggia seta' tħeġġeġ minn ħabib tiegħu li kien ibiegħ kopji tal-pittura, minħabba li l-valur ta' dawn kien jogħla ħafna wara s-serqa tal-kopja oriġinali. Wara li żamm it-tpinġija fl-appartament tiegħu għal sentejn, Peruggia beda jitlef sabru u sa fl-aħħar inqabad meta pprova jbiegħha lid-diretturi tal-Gallerija Uffizi ġewwa Firenze. Wara dan kollu, il-Mona Lisa ġiet esposta madwar l-Italja kollha u ttieħdet lura fil-Louvre fl-1913. Ġewwa l-Italja Peruggia ġie mfaħħar għall-patrijottiżmu tiegħu u kien għalhekk li qatta' biss ftit xhur il-ħabs .",Meta insterqet il-Mona Lisa?,21 ta' Awwissu 1911
124,"Il-Mona Lisa qiegħda attwalment esposta fil-Musée du Louvre f'Pariġi, fi Franza. Il-fama dejjem tiżdied tal-pittura ġiet aktar enfasizzata meta nsterqet fil-21 ta' Awwissu 1911. L-għada l-pittur Louis Béroud daħal fil-Louvre u mar fis-Salon Carré fejn il-Mona Lisa kienet ilha esposta għal ħames snin. Iżda minflok il-Mona Lisa sab erba' grampuni tal-ħadid. Béroud sejjaħ il-kap tas-sezzjoni tal-gwardji, li ħaseb li t-tpinġija kienu qegħdin jitteħdulha xi ritratti għall-skopijiet kummerċjali. Ftit sigħat wara, Béroud reġa' sejjaħ il-kap tas-sezzjoni tal-mużew, u ġie kkonfermat li l-Mona Lisa ma tteħditx mill-fotografi. Il-Louvre ingħalaq għal ġimgħa sħiħa sabiex tiġi ffaċilitata l-investigazzjoni tas-serqa. Is-suspett waqa' fuq il-poeta Franċiż Guillaume Apollinaire, li kien saħaq li l-Louvre għandu ""jinħaraq"", u għalhekk ġie arrestat u mitfugħ il-ħabs. Apollinaire ipprova jdaħħal lil sieħbu Pablo Picasso fil-kwistjoni, li nġieb huwa wkoll għall-interrogazzjoni, iżda t-tnejn inħelsu aktar tard . Dak iż-żmien kien maħsub li l-pittura ntilfet għalkollox u kien biss wara sentejn li nqabad il-ħalliel. L-impjegat fil-Louvre Vincenzo Peruggia seraq il-Mona Lisa billi daħal fil-bini waqt is-sigħat regolari tal-ftuħ, staħba ġo kmajra tal-ixkupi u ħarab 'il barra biha moħbija taħt il-kowt wara li ngħalaq il-mużew . Peruggia kien patrijott Taljan li kien jemmen li x-xogħol ta' Leonardo għandu jerġa' lura fl-Italja u jiġi espost f'mużew Taljan. Peruggia seta' tħeġġeġ minn ħabib tiegħu li kien ibiegħ kopji tal-pittura, minħabba li l-valur ta' dawn kien jogħla ħafna wara s-serqa tal-kopja oriġinali. Wara li żamm it-tpinġija fl-appartament tiegħu għal sentejn, Peruggia beda jitlef sabru u sa fl-aħħar inqabad meta pprova jbiegħha lid-diretturi tal-Gallerija Uffizi ġewwa Firenze. Wara dan kollu, il-Mona Lisa ġiet esposta madwar l-Italja kollha u ttieħdet lura fil-Louvre fl-1913. Ġewwa l-Italja Peruggia ġie mfaħħar għall-patrijottiżmu tiegħu u kien għalhekk li qatta' biss ftit xhur il-ħabs .",Kif inqabad il-ħalliel tal-Mona Lisa?,inqabad meta pprova jbiegħha lid-diretturi tal-Gallerija Uffizi ġewwa Firenze
125,"Il-Mona Lisa qiegħda attwalment esposta fil-Musée du Louvre f'Pariġi, fi Franza. Il-fama dejjem tiżdied tal-pittura ġiet aktar enfasizzata meta nsterqet fil-21 ta' Awwissu 1911. L-għada l-pittur Louis Béroud daħal fil-Louvre u mar fis-Salon Carré fejn il-Mona Lisa kienet ilha esposta għal ħames snin. Iżda minflok il-Mona Lisa sab erba' grampuni tal-ħadid. Béroud sejjaħ il-kap tas-sezzjoni tal-gwardji, li ħaseb li t-tpinġija kienu qegħdin jitteħdulha xi ritratti għall-skopijiet kummerċjali. Ftit sigħat wara, Béroud reġa' sejjaħ il-kap tas-sezzjoni tal-mużew, u ġie kkonfermat li l-Mona Lisa ma tteħditx mill-fotografi. Il-Louvre ingħalaq għal ġimgħa sħiħa sabiex tiġi ffaċilitata l-investigazzjoni tas-serqa. Is-suspett waqa' fuq il-poeta Franċiż Guillaume Apollinaire, li kien saħaq li l-Louvre għandu ""jinħaraq"", u għalhekk ġie arrestat u mitfugħ il-ħabs. Apollinaire ipprova jdaħħal lil sieħbu Pablo Picasso fil-kwistjoni, li nġieb huwa wkoll għall-interrogazzjoni, iżda t-tnejn inħelsu aktar tard . Dak iż-żmien kien maħsub li l-pittura ntilfet għalkollox u kien biss wara sentejn li nqabad il-ħalliel. L-impjegat fil-Louvre Vincenzo Peruggia seraq il-Mona Lisa billi daħal fil-bini waqt is-sigħat regolari tal-ftuħ, staħba ġo kmajra tal-ixkupi u ħarab 'il barra biha moħbija taħt il-kowt wara li ngħalaq il-mużew . Peruggia kien patrijott Taljan li kien jemmen li x-xogħol ta' Leonardo għandu jerġa' lura fl-Italja u jiġi espost f'mużew Taljan. Peruggia seta' tħeġġeġ minn ħabib tiegħu li kien ibiegħ kopji tal-pittura, minħabba li l-valur ta' dawn kien jogħla ħafna wara s-serqa tal-kopja oriġinali. Wara li żamm it-tpinġija fl-appartament tiegħu għal sentejn, Peruggia beda jitlef sabru u sa fl-aħħar inqabad meta pprova jbiegħha lid-diretturi tal-Gallerija Uffizi ġewwa Firenze. Wara dan kollu, il-Mona Lisa ġiet esposta madwar l-Italja kollha u ttieħdet lura fil-Louvre fl-1913. Ġewwa l-Italja Peruggia ġie mfaħħar għall-patrijottiżmu tiegħu u kien għalhekk li qatta' biss ftit xhur il-ħabs .",Għaliex insterqet il-Mona Lisa?,Peruggia kien patrijott Taljan li kien jemmen li x-xogħol ta' Leonardo għandu jerġa' lura fl-Italja u jiġi espost f'mużew Taljan
126,"Johann Sebastian Bach (Eisenach, 21 ta' Marzu, 1685 – Leipzig, 28 ta' Lulju, 1750) kien kompożitur Ġermaniż u organista tal-perjodu Barokk, universalment ikkunsidrat bħala wieħed mill-kbarat tal-mużika ta' kull żmien. L-opri tiegħu huma magħrufa għall-profondità intellettwali, padronanza tal-mezzi tekniċi u espressivi, u sbuħija artistika; kienu ta' ispirazzjoni għall-parti l-kbira tal-mużiċisti li segwew fit-tradizzjoni Ewropea, minn Mozart sa Schoenberg. Bach ikkompona aktar minn 1000 kompożizzjoni. Din il-lista twila fiha madwar nofs ix-xogħol li għamel dan il-kompożitur. L-opri tiegħu ġew klassifikati u miġbura mill-mużikologu Wolfgang Schmieder fil-Bach-Werke-Verzeichnis (BMV), il-katalgu tal-opri ta' Bach, fl-1950.",F' liem perjodu għex Bach?,perjodu Barokk
127,"Johann Sebastian Bach (Eisenach, 21 ta' Marzu, 1685 – Leipzig, 28 ta' Lulju, 1750) kien kompożitur Ġermaniż u organista tal-perjodu Barokk, universalment ikkunsidrat bħala wieħed mill-kbarat tal-mużika ta' kull żmien. L-opri tiegħu huma magħrufa għall-profondità intellettwali, padronanza tal-mezzi tekniċi u espressivi, u sbuħija artistika; kienu ta' ispirazzjoni għall-parti l-kbira tal-mużiċisti li segwew fit-tradizzjoni Ewropea, minn Mozart sa Schoenberg. Bach ikkompona aktar minn 1000 kompożizzjoni. Din il-lista twila fiha madwar nofs ix-xogħol li għamel dan il-kompożitur. L-opri tiegħu ġew klassifikati u miġbura mill-mużikologu Wolfgang Schmieder fil-Bach-Werke-Verzeichnis (BMV), il-katalgu tal-opri ta' Bach, fl-1950.",Min ġabar ix-xogħol ta' Bach?,Wolfgang Schmieder
128,"It-Tieni Gwerra Dinjija kien kunflitt mondjali li involva l-maġġoranza tal-pajjiżi tad-dinja, b'mod speċjali l-pajjiżi l-iktar avvanzati maqsumin f'żewġ alleanzi militari opposti: L-Alleati u l-Qawwiet tal-Assi. Din il-gwerra involviet il-mobilitazzjoni ta' 'l fuq minn 100 miljun rekluta militari, b'hekk hi meqjusa bħala l-iktar gwerra mifruxa fl-istorja. Fi stat ta' ""gwerra totali"", il-partiċipanti maġġuri poġġew il-kapaċitajiet ekonomiċi, industrijali, u xjentifiċi għas-servizz ta' isforz belliku, bl-injorar tad-distinzjoni bejn riżorsi militari u dawk ċivili. Iktar minn 70 miljun ruħ, il-maġġoranza tagħhom ċivili, inqatlu f'dan il-konflitt, li għalhekk jitqies bħala l-iktar imdemmi fl-istorja umana. In-nefqa finanzjarja totali tal-gwerra hi stimata li laħqet triljun dollaru amerikan, b'hekk hi ukoll l-iktar gwerra li swiet flus. Il-bidu tal-gwerra hu meqjus li hu Settembru 1939 bl-invażjoni tal-Polonja, u d-dikjarazzjoni ta'gwerra fuq il-Ġermanja mir-Renju Unit, Franza u d-Dominji Britanniċi. L-Allejati kienu rebbieħa, bil-Ġermanja ċċedi fit-8 ta' Mejju 1945, u r-rebħa fuq il-Ġappun fit-2 ta' Settembru.",Meta u kif bdiet it-Tieni Gwerra Dinjija?,Il-bidu tal-gwerra hu meqjus li hu Settembru 1939 bl-invażjoni tal-Polonja
129,"It-Tieni Gwerra Dinjija kien kunflitt mondjali li involva l-maġġoranza tal-pajjiżi tad-dinja, b'mod speċjali l-pajjiżi l-iktar avvanzati maqsumin f'żewġ alleanzi militari opposti: L-Alleati u l-Qawwiet tal-Assi. Din il-gwerra involviet il-mobilitazzjoni ta' 'l fuq minn 100 miljun rekluta militari, b'hekk hi meqjusa bħala l-iktar gwerra mifruxa fl-istorja. Fi stat ta' ""gwerra totali"", il-partiċipanti maġġuri poġġew il-kapaċitajiet ekonomiċi, industrijali, u xjentifiċi għas-servizz ta' isforz belliku, bl-injorar tad-distinzjoni bejn riżorsi militari u dawk ċivili. Iktar minn 70 miljun ruħ, il-maġġoranza tagħhom ċivili, inqatlu f'dan il-konflitt, li għalhekk jitqies bħala l-iktar imdemmi fl-istorja umana. In-nefqa finanzjarja totali tal-gwerra hi stimata li laħqet triljun dollaru amerikan, b'hekk hi ukoll l-iktar gwerra li swiet flus. Il-bidu tal-gwerra hu meqjus li hu Settembru 1939 bl-invażjoni tal-Polonja, u d-dikjarazzjoni ta'gwerra fuq il-Ġermanja mir-Renju Unit, Franza u d-Dominji Britanniċi. L-Allejati kienu rebbieħa, bil-Ġermanja ċċedi fit-8 ta' Mejju 1945, u r-rebħa fuq il-Ġappun fit-2 ta' Settembru.",Min rebaħ it-Tieni Gwerra Dinjija?,L-Allejati
130,"It-Tieni Gwerra Dinjija kien kunflitt mondjali li involva l-maġġoranza tal-pajjiżi tad-dinja, b'mod speċjali l-pajjiżi l-iktar avvanzati maqsumin f'żewġ alleanzi militari opposti: L-Alleati u l-Qawwiet tal-Assi. Din il-gwerra involviet il-mobilitazzjoni ta' 'l fuq minn 100 miljun rekluta militari, b'hekk hi meqjusa bħala l-iktar gwerra mifruxa fl-istorja. Fi stat ta' ""gwerra totali"", il-partiċipanti maġġuri poġġew il-kapaċitajiet ekonomiċi, industrijali, u xjentifiċi għas-servizz ta' isforz belliku, bl-injorar tad-distinzjoni bejn riżorsi militari u dawk ċivili. Iktar minn 70 miljun ruħ, il-maġġoranza tagħhom ċivili, inqatlu f'dan il-konflitt, li għalhekk jitqies bħala l-iktar imdemmi fl-istorja umana. In-nefqa finanzjarja totali tal-gwerra hi stimata li laħqet triljun dollaru amerikan, b'hekk hi ukoll l-iktar gwerra li swiet flus. Il-bidu tal-gwerra hu meqjus li hu Settembru 1939 bl-invażjoni tal-Polonja, u d-dikjarazzjoni ta'gwerra fuq il-Ġermanja mir-Renju Unit, Franza u d-Dominji Britanniċi. L-Allejati kienu rebbieħa, bil-Ġermanja ċċedi fit-8 ta' Mejju 1945, u r-rebħa fuq il-Ġappun fit-2 ta' Settembru.",Meta ċediet il-Ġermanja?,8 ta' Mejju 1945
131,"Il-Kostituzzjoni tal-Vermont ġiet miktuba u ratifikata f'Elijah West's Windsor Tavern fl-1777. Il-kolonisti tal-Vermont, li kienu qed ifittxu l-indipendenza minn New York, iġġustifikaw il-kostituzzjoni tagħhom fuq l-istess raġunijiet bħall-kostituzzjonijiet tal-istat bikrija tal-kolonji preċedenti: l-awtorità kienet ġejja mill-poplu. Kif jinnota l-istoriku Christian Fritz fi Sovereigns Amerikani: Il-Poplu u t-Tradizzjoni Kostituzzjonali tal-Amerika qabel il-Gwerra Ċivili. Huma raw lilhom infushom bħala reġjun distint barra mill-ġurisdizzjoni leġittima ta 'New York. Il-pussess ta’ popolazzjoni identifikabbli jew “poplu” tahom l-istess drittijiet kostituzzjonali ta’ awto-gvern bħal “popli” oħra tal-konfederazzjoni Amerikana. Il-kostituzzjoni ta' Vermont kienet immudellata wara l-kostituzzjoni ta' Pennsylvania radikalment demokratika fuq suġġeriment ta' Dr Young, li ħadem ma' Thomas Paine u oħrajn fuq dak id-dokument tal-1776 f’Philadelphia. Matul iż-żmien tiegħu bħala stat indipendenti, il-gvern ħareġ il-munita tiegħu stess u ħaddem is-servizz postali. Il-munita kienet magħrufa bħala l-Vermont copper, u ż-zekka tagħha kienet imħaddma minn Reuben Harmon f'East Rupert mill-1785 sal-1788. Il-kap eżekuttiv tal-istat kien magħruf bħala l-gvernatur. Il-Gvernatur ta’ Vermont Thomas Chittenden, bil-kunsens tal-kunsill tiegħu u tal-Assemblea Ġenerali, ħatar kummissarji għall-gvern Amerikan ibbażat f’Philadelphia. Vermont ipparteċipa f'negozjati diplomatiċi mal-Istati Uniti, l-Olanda, u Franza. Wara li forza magħquda Brittaniċi-Mohawk attakkat diversi insedjamenti ta' Vermont fir-Royalton Raid tal-1780, Ethan Allen mexxa grupp ta' politiċi tal-Vermont f'taħditiet sigrieti ma' Frederick Haldimand, il-Gvernatur Ġenerali tal-Provinċja ta' Quebec, dwar ir-ritorn ta' Vermont lill-Ingliżi.",Meta u fejn ġiet miktuba il-Kostituzzjoni tal-Vermont?,Il-Kostituzzjoni tal-Vermont ġiet miktuba u ratifikata f'Elijah West's Windsor Tavern fl-1777.
132,"Il-Kostituzzjoni tal-Vermont ġiet miktuba u ratifikata f'Elijah West's Windsor Tavern fl-1777. Il-kolonisti tal-Vermont, li kienu qed ifittxu l-indipendenza minn New York, iġġustifikaw il-kostituzzjoni tagħhom fuq l-istess raġunijiet bħall-kostituzzjonijiet tal-istat bikrija tal-kolonji preċedenti: l-awtorità kienet ġejja mill-poplu. Kif jinnota l-istoriku Christian Fritz fi Sovereigns Amerikani: Il-Poplu u t-Tradizzjoni Kostituzzjonali tal-Amerika qabel il-Gwerra Ċivili. Huma raw lilhom infushom bħala reġjun distint barra mill-ġurisdizzjoni leġittima ta 'New York. Il-pussess ta’ popolazzjoni identifikabbli jew “poplu” tahom l-istess drittijiet kostituzzjonali ta’ awto-gvern bħal “popli” oħra tal-konfederazzjoni Amerikana. Il-kostituzzjoni ta' Vermont kienet immudellata wara l-kostituzzjoni ta' Pennsylvania radikalment demokratika fuq suġġeriment ta' Dr Young, li ħadem ma' Thomas Paine u oħrajn fuq dak id-dokument tal-1776 f’Philadelphia. Matul iż-żmien tiegħu bħala stat indipendenti, il-gvern ħareġ il-munita tiegħu stess u ħaddem is-servizz postali. Il-munita kienet magħrufa bħala l-Vermont copper, u ż-zekka tagħha kienet imħaddma minn Reuben Harmon f'East Rupert mill-1785 sal-1788. Il-kap eżekuttiv tal-istat kien magħruf bħala l-gvernatur. Il-Gvernatur ta’ Vermont Thomas Chittenden, bil-kunsens tal-kunsill tiegħu u tal-Assemblea Ġenerali, ħatar kummissarji għall-gvern Amerikan ibbażat f’Philadelphia. Vermont ipparteċipa f'negozjati diplomatiċi mal-Istati Uniti, l-Olanda, u Franza. Wara li forza magħquda Brittaniċi-Mohawk attakkat diversi insedjamenti ta' Vermont fir-Royalton Raid tal-1780, Ethan Allen mexxa grupp ta' politiċi tal-Vermont f'taħditiet sigrieti ma' Frederick Haldimand, il-Gvernatur Ġenerali tal-Provinċja ta' Quebec, dwar ir-ritorn ta' Vermont lill-Ingliżi.",Għalfejn il-kolonisti tal-Vermont kienu qed ifittxu l-indipendenza minn New York?,Huma raw lilhom infushom bħala reġjun distint barra mill-ġurisdizzjoni leġittima ta 'New York.
133,"Il-Kostituzzjoni tal-Vermont ġiet miktuba u ratifikata f'Elijah West's Windsor Tavern fl-1777. Il-kolonisti tal-Vermont, li kienu qed ifittxu l-indipendenza minn New York, iġġustifikaw il-kostituzzjoni tagħhom fuq l-istess raġunijiet bħall-kostituzzjonijiet tal-istat bikrija tal-kolonji preċedenti: l-awtorità kienet ġejja mill-poplu. Kif jinnota l-istoriku Christian Fritz fi Sovereigns Amerikani: Il-Poplu u t-Tradizzjoni Kostituzzjonali tal-Amerika qabel il-Gwerra Ċivili. Huma raw lilhom infushom bħala reġjun distint barra mill-ġurisdizzjoni leġittima ta 'New York. Il-pussess ta’ popolazzjoni identifikabbli jew “poplu” tahom l-istess drittijiet kostituzzjonali ta’ awto-gvern bħal “popli” oħra tal-konfederazzjoni Amerikana. Il-kostituzzjoni ta' Vermont kienet immudellata wara l-kostituzzjoni ta' Pennsylvania radikalment demokratika fuq suġġeriment ta' Dr Young, li ħadem ma' Thomas Paine u oħrajn fuq dak id-dokument tal-1776 f’Philadelphia. Matul iż-żmien tiegħu bħala stat indipendenti, il-gvern ħareġ il-munita tiegħu stess u ħaddem is-servizz postali. Il-munita kienet magħrufa bħala l-Vermont copper, u ż-zekka tagħha kienet imħaddma minn Reuben Harmon f'East Rupert mill-1785 sal-1788. Il-kap eżekuttiv tal-istat kien magħruf bħala l-gvernatur. Il-Gvernatur ta’ Vermont Thomas Chittenden, bil-kunsens tal-kunsill tiegħu u tal-Assemblea Ġenerali, ħatar kummissarji għall-gvern Amerikan ibbażat f’Philadelphia. Vermont ipparteċipa f'negozjati diplomatiċi mal-Istati Uniti, l-Olanda, u Franza. Wara li forza magħquda Brittaniċi-Mohawk attakkat diversi insedjamenti ta' Vermont fir-Royalton Raid tal-1780, Ethan Allen mexxa grupp ta' politiċi tal-Vermont f'taħditiet sigrieti ma' Frederick Haldimand, il-Gvernatur Ġenerali tal-Provinċja ta' Quebec, dwar ir-ritorn ta' Vermont lill-Ingliżi.",Fuqiex ġiet immudellata l-Kostituzzjoni tal-Vermont u fuq suġġeriment ta min?,Il-kostituzzjoni ta' Vermont kienet immudellata wara l-kostituzzjoni ta' Pennsylvania radikalment demokratika fuq suġġeriment ta' Dr Young
134,"Il-Knisja Kattolika hija l-Knisja Nisranija li tagħraf il-primat tal-awtorità tal-Isqof ta' Ruma, jiġifieri l-Papa, għax dan skont il-fidi Kattolika, huwa s-suċċessur tal-appostlu Pietru fuq il-katedra ta' Ruma. L-isem jindika l-universalità tal-Knisja mwaqqfa minn Ġesù Kristu, li tinsab fil-Knisja Kattolika, bla ma tiċħad il-preżenza ta' ħafna elementi ta' din il-verità fil-Knejjes l-oħra mifrudin minnha. Fost il-Knejjes Insara, dik Kattolika għandha l-ikbar numru ta' fidili, iktar minn biljun ruħ, b'perċentwali għoljin fl-Amerika Latina u fl-Ewropa. Min jemmen fiha jissejjaħ Kattoliku. Il-liturġija Kattolika hija ċċentrata fuq l-Ewkaristija. Il-Kattoliċi iqimu lill-Verġni Marija bħala Omm Alla, bħala mnissla mingħajr dnub u li ġiet imtellgħa fis-sema. Il-Knisja Kattolika hija fost l-eqdem istituzzjonijiet fid-dinja u kellha rwol prominent fl-istorja taċ-ċiviltà oċċidentali.",Għaliex tagħraf l-awtorita tal-Papa l-Knisja Kattolika?,"għax dan skont il-fidi Kattolika, huwa s-suċċessur tal-appostlu Pietru"
135,"Il-Knisja Kattolika hija l-Knisja Nisranija li tagħraf il-primat tal-awtorità tal-Isqof ta' Ruma, jiġifieri l-Papa, għax dan skont il-fidi Kattolika, huwa s-suċċessur tal-appostlu Pietru fuq il-katedra ta' Ruma. L-isem jindika l-universalità tal-Knisja mwaqqfa minn Ġesù Kristu, li tinsab fil-Knisja Kattolika, bla ma tiċħad il-preżenza ta' ħafna elementi ta' din il-verità fil-Knejjes l-oħra mifrudin minnha. Fost il-Knejjes Insara, dik Kattolika għandha l-ikbar numru ta' fidili, iktar minn biljun ruħ, b'perċentwali għoljin fl-Amerika Latina u fl-Ewropa. Min jemmen fiha jissejjaħ Kattoliku. Il-liturġija Kattolika hija ċċentrata fuq l-Ewkaristija. Il-Kattoliċi iqimu lill-Verġni Marija bħala Omm Alla, bħala mnissla mingħajr dnub u li ġiet imtellgħa fis-sema. Il-Knisja Kattolika hija fost l-eqdem istituzzjonijiet fid-dinja u kellha rwol prominent fl-istorja taċ-ċiviltà oċċidentali.",Kif inhu jintitolat il-poplu li jemmen fil-Knisja Kattolika?,Min jemmen fiha jissejjaħ Kattoliku.
136,"Il-Knisja Kattolika hija l-Knisja Nisranija li tagħraf il-primat tal-awtorità tal-Isqof ta' Ruma, jiġifieri l-Papa, għax dan skont il-fidi Kattolika, huwa s-suċċessur tal-appostlu Pietru fuq il-katedra ta' Ruma. L-isem jindika l-universalità tal-Knisja mwaqqfa minn Ġesù Kristu, li tinsab fil-Knisja Kattolika, bla ma tiċħad il-preżenza ta' ħafna elementi ta' din il-verità fil-Knejjes l-oħra mifrudin minnha. Fost il-Knejjes Insara, dik Kattolika għandha l-ikbar numru ta' fidili, iktar minn biljun ruħ, b'perċentwali għoljin fl-Amerika Latina u fl-Ewropa. Min jemmen fiha jissejjaħ Kattoliku. Il-liturġija Kattolika hija ċċentrata fuq l-Ewkaristija. Il-Kattoliċi iqimu lill-Verġni Marija bħala Omm Alla, bħala mnissla mingħajr dnub u li ġiet imtellgħa fis-sema. Il-Knisja Kattolika hija fost l-eqdem istituzzjonijiet fid-dinja u kellha rwol prominent fl-istorja taċ-ċiviltà oċċidentali.",Kif inhi meqjuma l-Verġni Marija?,"bħala Omm Alla, bħala mnissla mingħajr dnub u li ġiet imtellgħa fis-sema"
137,"Il-Knisja Kattolika hija l-Knisja Nisranija li tagħraf il-primat tal-awtorità tal-Isqof ta' Ruma, jiġifieri l-Papa, għax dan skont il-fidi Kattolika, huwa s-suċċessur tal-appostlu Pietru fuq il-katedra ta' Ruma. L-isem jindika l-universalità tal-Knisja mwaqqfa minn Ġesù Kristu, li tinsab fil-Knisja Kattolika, bla ma tiċħad il-preżenza ta' ħafna elementi ta' din il-verità fil-Knejjes l-oħra mifrudin minnha. Fost il-Knejjes Insara, dik Kattolika għandha l-ikbar numru ta' fidili, iktar minn biljun ruħ, b'perċentwali għoljin fl-Amerika Latina u fl-Ewropa. Min jemmen fiha jissejjaħ Kattoliku. Il-liturġija Kattolika hija ċċentrata fuq l-Ewkaristija. Il-Kattoliċi iqimu lill-Verġni Marija bħala Omm Alla, bħala mnissla mingħajr dnub u li ġiet imtellgħa fis-sema. Il-Knisja Kattolika hija fost l-eqdem istituzzjonijiet fid-dinja u kellha rwol prominent fl-istorja taċ-ċiviltà oċċidentali.",X' inhu ċ-ċentru tal-liturġija Kattolika?,Il-liturġija Kattolika hija ċċentrata fuq l-Ewkaristija.
138,"Il-Knisja Kattolika hija l-Knisja Nisranija li tagħraf il-primat tal-awtorità tal-Isqof ta' Ruma, jiġifieri l-Papa, għax dan skont il-fidi Kattolika, huwa s-suċċessur tal-appostlu Pietru fuq il-katedra ta' Ruma. L-isem jindika l-universalità tal-Knisja mwaqqfa minn Ġesù Kristu, li tinsab fil-Knisja Kattolika, bla ma tiċħad il-preżenza ta' ħafna elementi ta' din il-verità fil-Knejjes l-oħra mifrudin minnha. Fost il-Knejjes Insara, dik Kattolika għandha l-ikbar numru ta' fidili, iktar minn biljun ruħ, b'perċentwali għoljin fl-Amerika Latina u fl-Ewropa. Min jemmen fiha jissejjaħ Kattoliku. Il-liturġija Kattolika hija ċċentrata fuq l-Ewkaristija. Il-Kattoliċi iqimu lill-Verġni Marija bħala Omm Alla, bħala mnissla mingħajr dnub u li ġiet imtellgħa fis-sema. Il-Knisja Kattolika hija fost l-eqdem istituzzjonijiet fid-dinja u kellha rwol prominent fl-istorja taċ-ċiviltà oċċidentali.",Min waqqaf il-Knisja Kattolika?,Ġesù Kristu
139,"F'sens wiesa', reliġjon hi mod ta' kif tgħix jew twemmin imsejjes fuq ir-relazzjoni ta' bniedem ma' l-univers, jew ma' alla wieħed jew aktar. B'hekk sistemi differenti bħall-Kristjaneżmu, l-Iżlam, il-Ġudaiżmu, il-Buddiżmu, il-Ħinduiżmu, il-Ajjavali u x-Xintù huwa lkoll meqjusa reliġjonijiet. Ir-reliġjonijiet jistgħu jiġu kklassifikati ħafif ħafif abbażi tan-numru u l-kwantità ta' l-allat tagħhom. It-twemmin f'Alla wieħed hu l-monoteiżmu, waqt li dak f'aktar minn wieħed hu l-politeiżmu. Il-panteiżmu hu l-istqarrija li Alla jinsab f'kollox u f'kulħadd mentri l-animiżmu jressaq 'il quddiem il-ħsieb li f'kull ħaġa jinsab prinċipju vitali, jew sempliċement, ruħ.",X' inhi d-differenza bejn il-monoteiżmu u l-politeiżmu?,"It-twemmin f'Alla wieħed hu l-monoteiżmu, waqt li dak f'aktar minn wieħed hu l-politeiżmu."
